id;title;description;start_date;end_date;is_active;chance_percent;notes;organization_id
1;contextually-based Alaska Fresh;../fake-data/blob/hipster.txt;2022-01-14;2022-01-14;true;97;../fake-data/blob/hipster.txt;1
2;Infrastructure Assimilated;../fake-data/blob/hipster.txt;2022-01-14;2022-01-13;true;65;../fake-data/blob/hipster.txt;2
3;functionalities extensible;../fake-data/blob/hipster.txt;2022-01-13;2022-01-14;true;39;../fake-data/blob/hipster.txt;3
4;system benchmark European;../fake-data/blob/hipster.txt;2022-01-14;2022-01-14;true;81;../fake-data/blob/hipster.txt;4
5;Bike;../fake-data/blob/hipster.txt;2022-01-14;2022-01-14;false;66;../fake-data/blob/hipster.txt;5
6;gold Malagasy Alley;../fake-data/blob/hipster.txt;2022-01-14;2022-01-14;false;7;../fake-data/blob/hipster.txt;6
7;bypassing;../fake-data/blob/hipster.txt;2022-01-13;2022-01-14;true;75;../fake-data/blob/hipster.txt;7
8;Enhanced Prairie;../fake-data/blob/hipster.txt;2022-01-14;2022-01-13;true;35;../fake-data/blob/hipster.txt;8
9;Central;../fake-data/blob/hipster.txt;2022-01-13;2022-01-14;true;70;../fake-data/blob/hipster.txt;9
10;Cambridgeshire;../fake-data/blob/hipster.txt;2022-01-13;2022-01-14;true;70;../fake-data/blob/hipster.txt;10
