id;title;description;start_date;end_date;percent;role_id;project_id
1;web-readiness Gorgeous niches;../fake-data/blob/hipster.txt;2022-01-14;2022-01-13;77;1;1
2;Keyboard quantify;../fake-data/blob/hipster.txt;2022-01-14;2022-01-14;16;2;2
3;International Savings;../fake-data/blob/hipster.txt;2022-01-14;2022-01-14;18;3;3
4;Australian;../fake-data/blob/hipster.txt;2022-01-13;2022-01-13;1;4;4
5;RAM;../fake-data/blob/hipster.txt;2022-01-14;2022-01-13;55;5;5
6;Moldovan;../fake-data/blob/hipster.txt;2022-01-14;2022-01-14;1;6;6
7;Eritrea teal grey;../fake-data/blob/hipster.txt;2022-01-14;2022-01-13;38;7;7
8;Ergonomic SSL;../fake-data/blob/hipster.txt;2022-01-13;2022-01-14;89;8;8
9;Alaska USB optimize;../fake-data/blob/hipster.txt;2022-01-14;2022-01-13;97;9;9
10;Minnesota generating;../fake-data/blob/hipster.txt;2022-01-14;2022-01-14;14;10;10
